user_id,recommended_movies
94,"1214,1278,2488,1215,2664,1219,2648,968,2654,1348"
95,"2019,2804,1276,1197,908,953,858,2000,1207,3245"
96,"3245,1203,953,2503,2925,214,53,3038,3095,3092"
97,"3307,1207,670,2503,909,926,2357,2609,2324,668"
98,"1233,3035,1242,110,912,3196,1256,1272,969,2804"
99,"2804,1968,1276,3552,2791,2918,649,2000,2324,2503"
100,"2905,2019,940,1242,1233,1287,2609,1178,1207,3134"
101,"2376,733,2905,1291,1917,940,3639,2625,2019,3405"
102,"3307,3022,2208,2925,3629,2804,3072,3067,1172,1276"
103,"1240,1036,2905,1198,1200,260,3793,1196,2019,3624"
104,"2804,3851,2324,1136,649,1236,3868,3233,2788,2937"
105,"2019,2905,1198,1233,1954,2948,1240,3310,1036,2924"
106,"3307,1172,898,3739,1226,936,17,2935,2927,937"
107,"53,953,3245,2503,1207,2028,2197,527,669,557"
108,"1276,649,1136,2019,2997,1236,2924,3421,2324,3363"
109,"1197,2905,1136,1002,598,380,1215,3851,3233,2788"
110,"858,1945,1221,1234,3735,1953,3362,3741,1084,910"
111,"2324,1172,2858,2804,3307,3897,3410,909,1236,1207"
112,"1023,1029,1267,2726,2940,2018,2137,720,746,1025"
113,"1196,260,2019,2353,2762,1253,318,3147,2905,1210"
114,"1022,2139,1223,3159,1148,745,3114,3429,262,720"
115,"2571,1215,1196,1214,1200,2997,1240,260,1136,589"
116,"1214,2804,2858,1215,3022,1197,1200,3067,2937,2936"
117,"2905,29,2019,2363,1218,3275,3300,2193,198,3470"
118,"2905,2019,3307,1214,916,969,1287,3022,1218,1610"
119,"3851,745,649,3831,1148,3622,3536,104,2889,2618"
120,"668,2329,1236,2503,1243,1279,3410,669,1131,1423"
121,"1206,1199,3658,29,2010,1965,2660,1240,1200,3932"
122,"2019,2905,3310,1197,1788,1242,969,1233,1610,1287"
123,"53,3245,2503,2324,214,2197,1949,668,1423,3147"
124,"669,318,53,2503,1900,3245,1207,2351,214,1300"
125,"2028,1198,2019,110,858,2905,1196,260,1200,1221"
126,"3307,1172,1211,446,2969,898,1247,58,2585,3822"
127,"1036,1214,2905,1610,1127,2019,2288,3527,908,1242"
128,"1197,3307,3022,1172,1200,1214,2324,1136,745,649"
129,"2905,3265,2019,1218,1610,593,1234,457,2001,110"
130,"2993,2924,2905,1197,861,3836,969,1218,3384,3265"
131,"3089,1228,1423,1095,2360,53,2351,3504,670,669"
132,"3022,2791,2918,2937,1002,3253,598,3819,1394,3552"
133,"3916,3245,213,3147,1678,2431,2324,3178,2236,1704"
134,"2924,2019,1197,1196,2324,2804,745,3307,3022,2905"
135,"2324,2804,1136,2997,1276,909,3897,3022,1449,1281"
136,"1273,2068,1236,978,2575,3416,3424,3160,535,2360"
137,"2019,3307,1197,2905,969,1233,53,1196,908,1240"
138,"1945,3735,910,1084,3521,3362,1953,3517,668,850"
139,"2324,2905,2571,1215,3897,32,745,741,1235,2596"
140,"3307,649,3089,1207,2019,2858,909,2804,668,3092"
141,"318,3386,911,527,2686,593,2208,3147,2028,1086"
142,"745,3114,858,1223,1423,2804,3022,1148,3897,1276"
143,"1172,318,1276,3307,2019,2804,1236,3897,3451,2905"
144,"318,3469,1949,1900,1203,2609,3916,1207,2329,1246"
145,"2289,670,3083,923,3410,2351,1243,1228,1237,3317"
146,"1207,3307,2804,1172,1276,2503,909,2324,3060,3092"
147,"2905,1287,2019,593,1954,1101,858,3147,953,3654"
148,"2905,1242,1002,2001,3363,3916,969,214,2156,953"
149,"2804,1193,53,2503,3363,1207,3307,909,1104,908"
150,"1207,3245,53,2503,214,2609,669,2336,2329,953"
151,"3307,3410,1963,1080,2289,1449,649,3851,1914,3363"
152,"1279,2858,1236,2997,3462,2324,3851,1257,1171,2788"
153,"1136,2918,598,1663,3814,1080,2788,223,3851,1968"
154,"111,3410,2503,53,2804,1276,3897,593,668,3200"
155,"1172,909,1276,2858,3897,3363,106,2238,3451,2935"
156,"1172,3307,898,2843,1226,497,3536,892,2029,3097"
157,"649,2019,2804,2324,3307,3410,1236,53,670,668"
158,"318,2503,2324,572,3245,2329,1117,527,2804,1704"
159,"649,2324,898,916,933,905,2804,811,2861,3363"
160,"53,318,669,2503,1423,2197,2329,1246,1949,668"
161,"1193,669,53,3089,668,1237,3006,2503,213,1104"
162,"2571,2019,2905,2924,1610,745,2324,1196,1291,1218"
163,"2019,318,1953,2804,3307,1197,2324,111,1236,3897"
164,"912,527,318,2324,2503,53,1172,2197,3307,2804"
165,"1077,2571,750,1278,3932,2662,1199,1253,718,1258"
166,"318,53,1236,2360,3245,2503,649,669,3897,2197"
167,"1236,668,2324,318,2804,2503,53,3083,1423,2858"
168,"2324,2858,1276,2804,1243,1279,1236,2918,1968,1136"
169,"649,3552,3421,1236,864,2503,2444,231,324,1968"
170,"2019,1233,318,1207,953,2503,1193,1104,954,924"
171,"3338,3077,2930,1189,363,1827,556,787,759,1420"
172,"2186,1252,1617,3683,2066,746,2726,541,1248,942"
173,"1193,53,3245,3095,2503,954,1423,953,2925,1095"
174,"2905,1218,1196,1198,1200,2028,593,1221,474,1954"
175,"923,926,3307,3415,3089,909,1236,1096,2609,2931"
176,"905,2324,598,2889,2706,2937,1002,2302,2073,947"
177,"2905,29,750,1199,1274,2324,318,1306,2019,32"
178,"945,1066,907,2081,2078,1172,2324,3451,1022,905"
179,"318,1193,2324,2858,3468,2329,923,670,3006,1207"
180,"318,2503,1207,668,53,1104,3245,2329,923,1423"
181,"858,2997,2324,1276,1193,1243,1060,3897,322,1236"
182,"2324,2804,2858,2918,1279,3022,3451,3897,3851,905"
183,"3307,3090,1207,923,670,306,1276,3089,1423,3504"
184,"3114,2761,1023,3159,1148,1282,1029,745,3429,720"
185,"2905,1198,2019,2571,1036,457,1196,1291,1218,1240"
186,"745,1148,1223,2324,3114,649,3429,3897,1236,3410"
187,"53,669,1237,3089,1423,2503,3192,2624,2360,3090"
188,"53,2858,318,2360,1193,2019,2324,1900,3245,3410"
189,"1117,2503,1423,2501,3469,668,669,670,3006,53"
190,"1276,2324,3200,669,2925,2238,583,2503,318,3468"
191,"2804,2324,649,1236,1276,1136,3022,568,2937,3451"
192,"53,668,2019,111,1228,909,3469,2360,3468,3245"
193,"2324,3245,1968,2503,53,3410,1236,3363,345,1276"
194,"2706,598,3851,2937,1002,905,649,3233,1923,1136"
195,"3415,2503,53,1276,3089,3468,2925,3038,214,3410"
196,"2804,2324,858,2542,678,1358,649,1809,318,149"
197,"2503,1193,53,1207,2360,669,2197,214,1276,2804"
198,"955,3022,905,2324,1236,951,1281,2924,1449,745"
199,"2503,3245,2019,1117,2804,2493,2480,2624,2931,53"
200,"1172,2396,811,2324,1197,345,3307,1968,2843,936"
201,"1172,3307,1236,1276,649,838,1244,2804,916,3363"
202,"3897,2324,2804,1197,1784,649,3147,1172,1871,1236"
203,"3382,669,2503,53,3245,3038,1193,2728,2931,2925"
204,"2804,2905,1276,2019,1207,2329,2503,3363,3092,3469"
205,"2858,2918,3022,3210,2804,1236,2324,3421,3552,2937"
206,"1200,1210,589,1240,1374,2628,1214,1215,3527,1580"
207,"2324,3897,3022,345,2352,1235,1537,745,568,3307"
208,"858,1221,678,2959,1228,908,2329,1953,3160,1178"
209,"649,1002,598,3552,2791,3421,1236,1136,905,3022"
210,"1608,457,1036,3623,1218,3578,3256,3624,3555,1370"
211,"1240,1214,593,1200,2571,589,1036,2762,2288,908"
212,"2001,598,733,1610,649,3256,1918,2423,3147,333"
213,"2324,905,1148,497,2804,745,1226,3451,1172,2788"
214,"1136,3022,1079,1394,1537,951,1281,2937,3911,2788"
215,"1196,2571,1240,589,2640,1270,1917,1200,1214,1253"
216,"3897,3410,3307,649,2861,1236,53,3317,2197,2329"
217,"3307,2692,2997,2905,3022,1172,745,1449,1136,2324"
218,"3307,3022,1276,3410,3363,2019,2858,909,3451,3504"
219,"1236,1136,2324,3022,2937,905,2997,649,3787,3306"
220,"2804,909,1276,3307,3504,2289,106,232,649,3022"
221,"904,3801,1212,1950,578,800,2208,1269,903,2686"
222,"2905,2019,1356,2324,750,1242,1253,1580,3175,1270"
223,"1954,864,1276,3307,11,649,1036,2324,2937,3421"
224,"2324,3451,3363,1236,3083,232,3022,3067,1172,1734"
225,"53,326,669,1423,909,2132,2351,926,1104,1276"
226,"2804,1002,2858,3022,2324,3851,1449,2918,1136,3233"
227,"593,318,2858,678,111,3147,908,1900,53,649"
228,"593,1214,1240,1358,908,2571,608,318,1200,858"
229,"2609,3245,668,1193,306,2197,214,3789,307,1949"
230,"318,2324,2609,2804,1196,2858,668,53,2503,3245"
231,"3022,2019,1215,2905,1236,2804,1281,908,951,3526"
232,"3022,3462,1136,3629,1276,1394,905,1080,1934,1281"
233,"899,1066,907,1022,3307,3159,900,2078,17,1380"
234,"53,3245,3224,669,213,3222,3092,214,3469,1949"
235,"3307,649,2503,668,1276,926,326,3897,3089,2731"
236,"2905,2019,53,3578,110,2959,3245,1242,2503,2858"
237,"1172,2324,3363,916,11,3451,3526,1226,3307,2352"
238,"318,53,1193,2197,2503,669,3382,3245,3092,3089"
239,"3307,1172,912,1211,1244,1276,909,326,1193,3089"
240,"2905,1221,2028,1242,527,2662,1197,1253,318,2019"
241,"1253,2529,1199,2662,2664,2010,260,3527,1301,1175"
242,"3022,649,345,1236,2324,3410,3911,232,2924,1914"
243,"3022,905,3306,3629,955,3307,947,1446,1537,3451"
244,"916,3307,898,2804,2935,838,497,2248,1244,2324"
245,"670,3245,2503,3089,3095,53,1131,1104,668,669"
246,"905,298,2937,3233,1002,2324,3022,1276,649,1236"
247,"53,668,3245,2357,669,670,2503,1193,2329,1246"
248,"2028,2905,1610,3578,858,1218,1214,1233,1200,2019"
249,"2324,2804,2924,2993,905,916,3552,2301,2371,598"
250,"2571,1036,1196,589,1240,2905,260,457,1198,1197"
251,"2019,1304,1197,2858,2324,858,1276,2905,2924,3022"
252,"2019,1214,858,1240,1036,1200,2905,1218,1221,3310"
253,"2503,1207,53,318,1131,953,669,2931,954,3006"
254,"1258,2644,2648,1340,260,1348,2571,2664,1215,1321"
255,"2503,649,2905,2019,53,1236,2197,3245,2324,2501"
256,"2019,2905,2692,1214,3310,1218,1222,608,1788,3265"
257,"908,678,111,3634,628,2819,1610,1200,965,3420"
258,"733,2905,3916,3510,2762,3654,628,1197,2628,3623"
259,"53,1276,3245,1300,1237,2503,1207,669,670,1423"
260,"2905,3578,1218,2019,457,3624,858,2692,2924,1374"
261,"2804,2959,53,3307,909,3897,1423,2324,3949,1104"
262,"1199,750,29,1175,2275,1580,1301,1077,3658,2905"
263,"1172,2804,3307,3022,898,2918,2997,905,951,3739"
264,"2324,318,1172,2197,1207,2019,2501,150,527,3451"
265,"1066,3307,1067,907,1236,1172,935,3022,909,2609"
266,"3307,2324,953,1172,1276,909,1236,649,912,954"
267,"668,1423,1207,1236,3245,3897,2503,326,670,954"
268,"539,1721,11,2324,1307,3451,953,1172,2125,3363"
269,"1276,2289,1281,649,562,2997,2858,1236,3504,3462"
270,"668,2324,318,2609,1300,53,669,306,670,2197"
271,"3022,2997,2804,1449,2905,1172,1243,1259,905,909"
272,"1214,2795,1954,2324,318,2905,2937,3363,1276,678"
273,"2905,2324,1479,318,3851,1236,2197,649,2506,2880"
274,"1193,2197,1423,2503,668,923,53,2931,2324,2329"
275,"2324,318,3245,909,3307,1193,3897,1276,1207,649"
276,"3022,955,2997,1136,905,3462,1281,3481,2804,3629"
277,"1196,928,908,260,912,3307,1674,318,1172,1226"
278,"1333,2782,1337,1994,3216,3832,2519,3875,2488,2366"
279,"527,2028,1250,3091,3062,3196,1263,1299,1178,1262"
280,"1136,1002,2937,2804,2324,1236,649,3022,1276,2795"
281,"2804,2503,318,1236,670,668,557,2959,649,1664"
282,"908,3634,678,111,1358,3849,608,1249,1218,2967"
283,"1196,2916,1215,1917,1129,2288,1214,1580,2344,1210"
284,"1243,741,2788,745,1279,2324,750,649,1199,3814"
285,"2503,318,1423,669,923,2931,2925,3245,53,2329"
286,"2324,1276,3307,3410,2997,1236,1136,1172,649,318"
287,"53,1423,2959,3245,668,2360,2503,1207,3089,669"
288,"2905,3578,589,457,2019,1214,1287,2028,1218,1954"
289,"2019,3634,1218,1214,6,1227,3546,678,3728,1233"
290,"920,2028,1272,1250,912,953,1944,2804,1196,858"
291,"318,53,668,669,3245,2197,1423,17,2501,2609"
292,"750,1214,924,2019,1240,1253,1200,2010,2594,1206"
293,"213,1949,1176,668,1300,670,2238,1132,3415,3350"
294,"3022,3410,1236,951,3629,1273,3462,1276,3306,2289"
295,"2905,2019,2288,1242,1287,678,1374,3147,296,1953"
296,"2716,1236,2571,3114,745,1200,598,1197,1148,3576"
297,"1236,3410,649,1276,1243,3307,3067,2019,3083,1273"
298,"745,3022,1148,2324,1223,1236,649,1276,2937,3114"
299,"318,2324,2503,53,1236,668,2329,649,2197,3410"
300,"1287,2019,3307,2503,3469,1236,1203,649,53,2728"
301,"1276,1136,2289,909,3897,3363,3410,3504,858,923"
302,"2324,3022,1963,3814,3556,955,1236,909,649,951"
303,"1207,3307,670,2351,923,909,926,3095,669,2357"
304,"922,2186,2203,1267,930,541,746,1344,1154,3305"
305,"1348,1340,2644,2649,2654,1255,841,735,3022,2647"
306,"2324,649,3421,1610,598,1276,3363,1236,3897,1002"
307,"953,53,2503,1099,923,669,1203,909,3089,3363"
308,"909,3504,3307,1236,53,3410,3451,649,106,1172"
309,"1214,3578,1196,2503,3147,53,3897,2019,1423,260"
310,"1046,1172,1243,2596,3451,2843,2029,3410,3307,3897"
311,"2905,318,2959,3578,2019,1198,110,260,53,3470"
312,"2503,53,669,2197,1423,2959,326,2329,3245,3456"
313,"1276,3410,2019,2324,2804,3897,1236,909,3200,1273"
314,"2197,3245,53,2503,1935,3916,2925,1704,3408,1231"
315,"2206,3801,906,2686,1950,1625,911,578,3730,800"
316,"1356,3793,316,329,1374,2628,1240,3175,1373,29"
317,"1423,2503,53,3245,1280,2858,669,318,2357,2324"
318,"318,953,2324,2804,2503,3307,954,3363,1900,2858"
319,"3245,53,670,2503,668,3469,3095,669,1132,954"
320,"110,1222,527,1233,1200,593,1242,1272,912,3654"
321,"1193,2360,111,2019,1276,858,1237,908,2503,2575"
322,"3307,1172,898,17,1244,838,3668,2935,2248,1944"
323,"3307,2804,3022,3462,2019,1236,909,3504,2937,908"
324,"1036,1240,1198,933,593,628,745,965,2905,911"
325,"916,1226,539,1002,905,937,3097,934,1307,3536"
326,"2804,2324,1871,3410,2503,649,3307,232,3022,1002"
327,"53,3089,978,2360,1423,2351,308,1300,668,307"
328,"2905,2019,1218,1196,1240,1200,260,3578,1036,1197"
329,"2804,1276,3307,649,3022,1236,951,905,3819,909"
330,"318,3469,2503,2019,110,2501,2329,1207,150,53"
331,"3307,1207,923,3095,1104,668,3089,926,3415,954"
332,"1207,2609,668,213,2197,3307,2324,1949,954,53"
333,"2858,2324,649,3410,1243,3307,2997,1784,318,1276"
334,"3668,58,318,249,1172,3307,2927,1946,1247,446"
335,"2019,1954,2905,969,1254,1953,3104,1233,3035,3030"
336,"2393,1077,1253,3793,2528,1306,504,750,2578,2010"
337,"1214,2905,1240,260,1196,2288,1374,1197,2019,1198"
338,"1172,2804,2019,2324,3897,2905,3307,933,11,440"
339,"53,2609,1237,1300,2197,669,1545,3095,3089,670"
340,"905,2804,3307,2503,2081,2398,3363,1276,2324,1236"
341,"318,2019,1196,53,1423,3245,668,1968,1236,2197"
342,"2324,2804,3022,2905,1198,1276,3897,1136,3307,1236"
343,"3022,2804,1253,905,3739,1537,3307,2681,3096,1002"
344,"1200,2944,3654,3062,3035,1939,3091,969,858,1204"
345,"1193,53,2360,318,2959,668,3089,3245,669,1423"
346,"649,3307,1236,1136,3897,3410,1257,2248,1002,909"
347,"3307,2609,1046,53,318,1131,1193,1237,58,668"
348,"2028,3091,1242,1178,3196,1224,3035,3808,1217,3134"
349,"2019,2858,2905,53,2329,1276,2324,1233,3468,908"
350,"1036,1240,1214,1200,1610,2905,1198,474,1197,260"
351,"2019,2905,1788,2858,1233,1279,858,318,3405,1172"
352,"1276,1423,668,3897,2503,1236,3469,1131,3038,53"
353,"858,2194,1953,1945,2268,3147,318,593,1084,2764"
354,"3147,593,318,2324,678,3510,457,2804,1704,3092"
355,"649,2804,1236,2324,1276,2905,2019,3363,3410,3245"
356,"2488,1258,1278,1333,1407,1214,1219,1215,3727,3351"
357,"306,668,307,1237,3416,2858,2351,1095,2731,308"
358,"920,2197,669,318,214,1132,2609,1131,53,2310"
359,"1240,1214,1200,750,3471,2660,1253,1199,1374,1077"
360,"2905,3470,940,1287,3172,1580,969,316,2970,1254"
361,"1276,2997,1136,649,3897,909,2804,3410,3022,1236"
362,"2019,318,2804,1197,2324,2503,909,858,1193,1196"
363,"745,2997,1214,858,1953,1200,593,3429,2804,608"
364,"3307,1276,2804,2324,909,1211,1172,1207,345,3410"
365,"916,1226,1172,2935,3307,1307,3536,943,892,497"
366,"318,3092,2609,1293,1545,2357,2197,668,2731,1243"
367,"3307,898,1046,2920,17,58,1946,2935,2843,916"
368,"1193,53,2197,858,3245,1228,111,670,923,669"
369,"3421,3552,3022,2791,1663,2937,3233,1537,3868,955"
370,"2324,3022,2804,1197,1136,909,1236,2791,905,3897"
371,"3083,3410,1273,649,1276,1244,3317,2289,3307,3424"
372,"1356,1214,2880,316,2405,2916,2393,168,329,2640"
373,"2905,1218,1610,1240,1200,2762,3147,1573,3578,2353"
374,"2905,2019,858,1221,1196,260,1218,457,1240,1953"
375,"318,3245,1193,668,53,2503,2197,3092,1207,3038"
376,"2324,2804,1276,908,3451,53,2609,2931,3363,2503"
377,"2324,2019,1242,3307,2905,1178,318,1256,1221,1172"
378,"2804,745,1276,1236,3548,3022,2503,909,1136,318"
379,"1721,2506,2067,1172,3307,249,937,916,2424,1946"
380,"3022,3462,905,1276,3629,3814,947,3552,649,955"
381,"1199,1206,741,1921,2594,541,3471,1306,260,1274"
382,"3307,1244,2858,1211,649,838,916,898,1230,3067"
383,"3307,1276,2324,2804,1211,2935,1172,905,1236,909"
384,"3030,2019,1283,3467,1209,2905,3737,3365,3607,1266"
385,"1610,1374,1287,2905,380,318,10,1210,2001,2503"
386,"1273,1276,1394,562,1963,3067,1244,3814,3504,3410"
387,"3307,2935,898,951,955,3739,1307,905,916,1281"
388,"318,2324,953,1207,954,2858,2197,3095,1784,1193"
389,"1036,2028,3916,3147,1610,150,3753,2000,1196,1198"
390,"1278,2747,2648,2488,3550,841,1337,3018,3832,1276"
391,"1260,1233,3435,1252,3134,923,908,922,3089,1267"
392,"1276,2324,2804,3307,1236,649,909,3022,3410,3200"
393,"670,668,909,3067,2324,3083,232,669,3897,3089"
394,"1218,1214,1200,1610,3527,2288,593,1249,474,2905"
395,"3421,104,1136,3814,2706,3552,785,598,180,2918"
396,"3307,3083,2238,1236,670,3410,3317,1273,3022,3451"
397,"2905,2019,1233,858,3578,110,1218,1242,1210,2924"
398,"1236,3897,1136,2324,3307,1273,3022,3410,649,3504"
399,"3022,905,3306,947,1136,2937,3462,951,2918,955"
400,"2324,2804,649,1236,318,1968,905,3897,2905,3363"
401,"1136,1276,649,1236,2324,909,2918,3363,3022,3410"
402,"1276,649,3451,3083,1236,3022,2937,598,905,1963"
403,"110,1036,318,2000,649,2905,1918,1218,1236,2324"
404,"53,3089,2503,1193,1423,3090,2931,669,3245,2731"
405,"2324,1172,649,2858,1236,3307,1784,1243,1279,3897"
406,"2324,527,1704,2501,2197,1207,954,3916,864,3147"
407,"1234,2858,1221,3552,2324,2788,3421,3233,3911,2937"
408,"909,3083,1276,1172,1207,2238,1104,905,926,1300"
409,"649,1276,1236,53,2503,3410,2197,1228,2931,3198"
410,"905,2918,3022,1235,951,3851,3462,2324,598,955"
411,"232,3307,3410,909,3092,953,649,670,2609,864"
412,"2804,649,3307,1172,1236,1914,1279,3410,3451,3526"
413,"953,1193,53,2503,668,3245,670,1423,2197,1704"
414,"527,3196,969,3035,1178,3808,110,1233,3091,2067"
415,"3307,1276,1236,3022,3083,909,1273,905,649,232"
416,"318,1276,2503,1207,1193,953,2357,2324,669,3307"
417,"745,1223,3429,720,2761,2355,1023,2137,2138,3022"
418,"3147,3510,1610,3578,2019,1608,2905,908,2501,2028"
419,"3307,2019,1172,1233,1276,1193,670,3091,3035,953"
420,"1136,3022,2997,3462,3629,1394,3307,1449,2973,2936"
421,"457,377,2763,733,2353,1610,1608,474,2058,3256"
422,"589,1199,2010,2916,924,2594,1573,1653,3702,3793"
423,"2881,572,225,2861,2806,2512,2503,2488,2847,2501"
424,"3307,1104,2019,2503,53,2324,1131,669,649,1236"
425,"1236,568,2858,2503,649,3410,2324,3022,1968,3363"
426,"2019,2905,1287,1233,1218,2194,3384,1832,940,969"
427,"1196,260,2905,2571,1198,1214,1210,2019,1240,1291"
428,"1136,3897,1236,3410,1394,1080,1449,2959,3317,101"
429,"1228,3307,2289,909,1423,670,2238,3363,1193,3245"
430,"916,3536,898,3739,937,3097,1307,11,915,2834"
431,"2905,2019,858,1374,750,1221,1287,1376,1233,1218"
432,"916,28,898,3307,1307,1172,2935,17,915,2927"
433,"2804,3022,3307,951,909,905,3629,2997,1172,3481"
434,"2804,649,1236,3022,1136,1223,1276,3410,745,905"
435,"2949,2991,110,3366,2028,3578,3753,1233,2905,2019"
436,"2324,2905,318,1019,3417,3470,2501,1949,3916,745"
437,"110,3091,3035,912,1242,1224,3196,1204,1283,3037"
438,"1243,1279,1236,1449,3851,1257,3410,2324,1171,1235"
439,"2197,1246,3469,150,1172,58,2324,527,213,954"
440,"2019,2905,457,1242,1233,3062,969,858,3578,3405"
441,"3793,1200,1214,1374,1210,2905,2916,1127,1356,3527"
442,"3307,3022,1236,649,909,951,3096,3088,3629,1172"
443,"2268,1945,3517,3783,3735,1842,1084,910,431,53"
444,"2503,649,1276,2804,3307,53,1236,3897,2239,3134"
